PM25,PM10,NO2,SO2,CO,O3,AQI
93.0,66.0,9.9,2.8,2.7,18.7,93.0
65.0,49.0,6.3,4.7,4.9,10.3,65.0
74.0,49.0,9.3,5.1,5.5,26.1,74.0
61.0,25.0,1.1,1.6,2.3,1.0,61.0
41.0,26.0,0.2,15.9,4.3,7.1,41.0
72.0,49.0,3.3,4.7,9.2,12.2,72.0
85.0,75.0,4.0,5.0,0.5,5.8,85.0
262.0,152.0,34.0,6.8,2.1,1.6,262.0
161.0,94.0,3.0,9.3,11.3,3.9,161.0
135.0,114.0,30.5,5.2,11.9,18.9,135.0
72.0,49.0,3.3,4.7,9.2,12.2,72.0
142.0,70.0,20.9,3.6,4.6,13.9,142.0
241.0,147.0,1.6,1.5,6.0,8.2,241.0
142.0,79.0,10.8,2.0,8.0,1.8,142.0
192.0,170.0,1.6,10.1,4.8,21.6,192.0
149.0,165.0,22.8,3.0,6.4,32.0,165.0
155.0,87.0,2.7,3.8,24.8,14.7,155.0
59.0,95.0,9.3,6.9,8.6,6.2,95.0
143.0,65.0,26.5,0.4,1.9,33.1,143.0
155.0,87.0,2.7,3.8,24.8,14.7,155.0
196.0,168.0,18.5,4.2,3.2,13.9,196.0
61.0,99.0,2.7,6.6,9.8,14.3,99.0
144.0,86.0,1.6,3.1,2.9,4.4,144.0
50.0,61.0,7.2,13.7,35.5,47.3,61.0
90.0,55.0,8.4,2.4,6.3,64.1,90.0
90.0,55.0,8.4,2.4,6.3,64.1,90.0
42.0,51.0,6.4,4.2,8.8,23.7,42.0
42.0,51.0,6.4,4.2,8.8,23.7,42.0
93.0,59.0,0.3,1.2,1.8,53.9,93.0
63.0,66.0,10.4,20.6,14.3,14.6,66.0
54.0,38.0,11.9,10.0,3.6,11.7,54.0
73.0,43.0,9.3,5.6,6.7,16.2,73.0
65.0,37.0,1.4,10.4,7.4,13.8,65.0
97.0,212.0,2.7,1.4,4.9,6.2,212.0
90.0,55.0,8.4,2.4,6.3,64.1,90.0
57.0,61.0,9.4,2.0,5.8,49.9,61.0
70.0,42.0,3.6,4.0,0.8,7.7,70.0
56.0,72.0,8.9,63.0,3.3,0.6,72.0
95.0,53.0,4.4,5.2,4.8,13.7,95.0
82.0,61.0,3.8,6.1,11.9,41.1,82.0
87.0,77.0,13.8,11.7,2.1,14.2,87.0
58.0,41.0,4.6,4.8,4.0,5.6,58.0
57.0,35.0,5.6,1.2,4.7,18.9,57.0
54.0,61.0,11.3,3.5,5.5,7.9,54.0
51.0,26.0,3.4,54.4,3.7,6.0,54.0
112.0,66.0,3.3,10.7,2.2,1.5,112.0
74.0,45.0,4.4,7.4,7.7,26.2,74.0
90.0,64.0,9.0,7.2,1.0,5.7,90.0
60.0,20.0,4.4,1.6,15.0,13.2,60.0
89.0,74.0,2.1,5.9,6.7,12.7,89.0
72.0,55.0,6.8,1.2,0.9,29.7,72.0
63.0,39.0,6.9,216.6,7.8,6.2,217.0
119.0,64.0,2.2,0.6,5.9,13.2,119.0
158.0,69.0,3.2,2.3,1.0,15.1,158.0
38.0,35.0,3.4,4.3,4.1,4.9,38.0
84.0,54.0,3.0,0.1,7.3,11.8,84.0
81.0,82.0,4.2,10.4,3.8,31.7,82.0
97.0,55.0,4.7,15.0,5.4,28.4,97.0
74.0,45.0,8.6,5.2,4.2,36.3,74.0
90.0,45.0,12.4,1.6,6.7,3.3,90.0
75.0,65.0,2.7,8.2,9.6,43.7,75.0
57.0,35.0,2.0,1.1,5.1,17.5,57.0
90.0,70.0,17.5,9.3,5.9,33.0,90.0
60.0,85.0,10.8,10.4,3.0,8.3,85.0
110.0,37.0,8.0,4.6,4.3,16.4,110.0
107.0,60.0,3.6,3.3,8.3,18.0,107.0
60.0,85.0,10.8,10.4,3.0,8.3,85.0
59.0,41.0,2.7,41.6,1.3,18.9,59.0
98.0,40.0,0.5,16.5,2.2,0.2,98.0
66.0,76.0,0.9,1.1,3.7,1.5,76.0
152.0,71.0,1.3,13.5,2.4,19.5,152.0
5.0,10.0,0.8,2.5,4.3,9.1,10.0
5.0,10.0,0.8,2.5,4.3,9.1,10.0
125.0,61.0,7.6,6.3,4.7,17.6,125.0
90.0,55.0,8.4,2.4,6.3,64.1,90.0
96.0,58.0,13.0,3.7,4.7,11.7,96.0
114.0,61.0,7.5,4.6,3.0,21.5,114.0
92.0,56.0,8.5,3.7,4.2,44.1,92.0
70.0,57.0,5.4,5.2,5.8,38.3,70.0
76.0,45.0,11.5,10.1,7.0,15.2,76.0
102.0,44.0,8.3,5.1,8.0,36.6,102.0
64.0,85.0,10.0,1.2,9.9,36.4,85.0
82.0,52.0,4.8,2.9,3.0,25.6,82.0
106.0,80.0,8.8,3.9,12.0,27.6,106.0
86.0,41.0,10.6,4.4,2.7,22.3,86.0
62.0,61.0,1.0,5.0,3.2,23.9,62.0
61.0,41.0,0.1,17.0,4.2,1.0,61.0
57.0,39.0,0.1,3.9,1.3,5.8,57.0
28.0,46.0,12.4,9.7,8.5,2.7,46.0
52.0,20.0,2.3,5.2,3.3,2.4,52.0
87.0,53.0,3.0,2.9,2.1,21.4,87.0
128.0,88.0,2.9,12.4,4.1,11.8,128.0
32.0,36.0,0.7,18.0,0.1,7.3,36.0
53.0,55.0,8.6,3.2,3.8,47.4,55.0
48.0,51.0,12.0,6.1,4.7,48.8,51.0
72.0,52.0,0.7,15.7,1.8,24.5,72.0
63.0,28.0,1.4,5.7,1.5,11.7,63.0
69.0,59.0,4.3,10.0,5.0,1.5,69.0
96.0,60.0,4.3,13.4,3.7,30.6,96.0
42.0,132.0,1.0,17.3,4.2,12.2,132.0
48.0,52.0,10.4,6.7,2.3,34.0,52.0
38.0,48.0,6.6,4.0,3.9,24.0,48.0
87.0,68.0,7.1,3.1,5.2,36.9,87.0
32.0,14.0,0.6,11.1,1.4,7.0,32.0
93.0,59.0,0.3,1.2,1.8,53.9,93.0
165.0,92.0,13.2,7.1,8.0,11.7,165.0
168.0,94.0,6.1,2.2,5.3,6.9,168.0
112.0,54.0,15.0,1.8,6.3,36.8,112.0
132.0,81.0,13.6,5.2,5.4,47.8,132.0
167.0,105.0,16.1,22.7,6.0,21.2,167.0
131.0,82.0,2.8,5.5,13.5,29.5,131.0
112.0,54.0,15.0,1.8,6.3,36.8,112.0
112.0,54.0,15.0,1.8,6.3,36.8,112.0
108.0,85.0,10.0,2.9,4.7,21.6,108.0
